,date,netflix,porn,diy
194,2019-01-06,58,74,55
195,2019-01-13,57,72,54
196,2019-01-20,55,73,54
197,2019-01-27,53,73,54
198,2019-02-03,47,72,55
199,2019-02-10,47,72,56
200,2019-02-17,46,70,54
201,2019-02-24,42,70,53
202,2019-03-03,43,70,55
203,2019-03-10,43,71,51
204,2019-03-17,44,73,53
205,2019-03-24,42,71,55
206,2019-03-31,42,71,54
207,2019-04-07,42,70,54
208,2019-04-14,45,75,55
209,2019-04-21,43,74,54
210,2019-04-28,44,74,56
