date,guns,germs,recreation
2019-01-06,46,2,16
2019-01-13,47,3,15
2019-01-20,46,3,15
2019-01-27,46,3,15
2019-02-03,46,3,15
2019-02-10,48,3,15
2019-02-17,49,2,16
2019-02-24,47,3,15
2019-03-03,48,3,16
2019-03-10,47,2,17
2019-03-17,49,2,16
2019-03-24,47,2,16
2019-03-31,44,2,17
2019-04-07,45,2,16
2019-04-14,44,2,16
2019-04-21,43,2,16
2019-04-28,43,2,17
