date,ammunition,gun stores,ar-15
2019-01-06,12,6,9
2019-01-13,11,5,8
2019-01-20,12,5,8
2019-01-27,12,5,8
2019-02-03,12,5,8
2019-02-10,13,6,9
2019-02-17,12,6,9
2019-02-24,13,6,9
2019-03-03,12,6,7
2019-03-10,13,6,10
2019-03-17,12,5,10
2019-03-24,12,6,8
2019-03-31,11,6,9
2019-04-07,12,4,7
2019-04-14,11,4,7
2019-04-21,11,4,7
2019-04-28,11,4,7
